Date,Product_ID,Historical_Price,Competitor_Price,Demand,Day_of_Week,Season,Promotions,Holiday
2023-03-24,1000,35.62,35.34,133,4,Spring,Yes,No
2023-05-30,1000,40.84,41.1,144,6,Spring,Yes,No
2023-06-17,1000,41.52,41.25,152,5,Spring,Yes,Yes
2023-11-21,1000,37.77,44.3,113,6,Summer,Yes,No
2023-10-07,1000,38.53,38.17,186,1,Spring,Yes,No
2023-12-26,1000,50.71,39.55,198,1,Winter,Yes,Yes
2023-05-03,1000,35.88,35.58,190,6,Spring,Yes,No
2023-05-02,1000,56.59,44.25,134,4,Winter,Yes,No
2023-06-29,1000,33.48,39.53,153,2,Summer,Yes,Yes
2023-11-17,1000,33.89,39.16,190,5,Summer,No,Yes
2023-08-02,1000,37.95,44.08,134,6,Summer,No,Yes
2023-08-16,1000,36.51,38.81,131,5,Fall,Yes,Yes
2023-12-27,1000,30.36,35.48,104,6,Summer,Yes,No
2023-02-08,1000,54.32,42.08,138,1,Winter,Yes,No
2023-03-18,1000,42.71,43.05,137,2,Spring,Yes,No
2023-08-03,1000,48.04,36.7,54,5,Winter,No,No
2023-06-11,1000,37.78,39.93,105,4,Fall,Yes,Yes
2023-01-10,1000,35.9,37.55,147,2,Fall,No,Yes
2023-04-03,1000,42.27,42.47,192,2,Spring,Yes,Yes
2023-07-12,1000,41.81,41.44,114,1,Spring,No,No
2023-05-05,1000,39.5,42.0,77,3,Fall,Yes,Yes
2023-04-30,1000,33.86,35.98,103,6,Fall,Yes,No
2023-06-13,1000,30.93,36.78,100,5,Summer,No,No
2023-03-12,1000,34.44,40.11,193,6,Summer,No,No
2023-07-04,1000,41.92,41.97,84,6,Spring,No,No
2023-08-19,1000,34.48,36.47,74,7,Fall,No,No
2023-12-19,1000,54.59,42.29,184,5,Winter,Yes,Yes
2023-02-13,1000,43.3,43.61,64,6,Spring,Yes,No
2023-05-28,1000,40.89,40.73,108,2,Spring,Yes,No
2023-02-02,1000,55.79,43.02,148,2,Winter,No,Yes
2023-04-02,1000,52.12,40.67,157,4,Winter,No,Yes
2023-12-16,1000,36.1,36.27,118,4,Spring,No,Yes
2023-02-13,1000,41.54,43.99,93,4,Fall,Yes,No
2023-01-13,1000,33.61,35.48,135,1,Fall,No,Yes
2023-11-15,1000,31.56,37.09,107,7,Summer,Yes,No
2023-07-25,1000,36.49,37.98,105,2,Fall,No,No
2023-04-08,1000,29.25,34.74,167,2,Summer,Yes,No
2023-08-07,1000,30.0,35.08,170,7,Summer,No,Yes
2023-05-19,1000,45.77,34.66,118,4,Winter,No,Yes
2023-11-30,1000,35.5,35.46,89,4,Spring,Yes,Yes
2023-12-03,1000,49.56,38.23,143,4,Winter,No,No
2023-06-05,1000,38.21,39.98,70,5,Fall,Yes,Yes
2023-06-26,1000,35.57,41.07,157,4,Summer,Yes,Yes
2023-11-20,1000,38.06,40.32,152,5,Fall,No,No
2023-10-05,1000,36.26,42.37,96,4,Summer,Yes,No
2023-10-19,1000,31.67,36.83,97,2,Summer,No,No
2023-02-17,1000,39.84,39.5,118,2,Spring,Yes,Yes
2023-01-18,1000,33.71,39.87,132,5,Summer,Yes,Yes
2023-12-29,1000,33.98,40.25,70,2,Summer,No,Yes
2023-02-17,1000,30.87,36.4,169,2,Summer,No,Yes
2023-09-01,1000,40.82,41.21,188,5,Spring,No,No
2023-11-01,1000,52.78,40.54,64,3,Winter,No,No
2023-09-06,1000,35.39,35.33,154,4,Spring,Yes,No
2023-05-22,1000,35.7,42.11,125,6,Summer,No,Yes
2023-05-19,1000,45.6,35.39,148,6,Winter,Yes,Yes
2023-06-21,1000,54.18,42.17,121,5,Winter,No,No
2023-03-27,1000,31.26,36.79,149,7,Summer,No,Yes
2023-12-25,1000,34.97,41.31,146,7,Summer,Yes,Yes
2023-06-26,1000,32.55,38.3,101,3,Summer,Yes,Yes
2023-07-12,1000,34.93,40.47,189,4,Summer,No,No
2023-12-04,1000,32.81,38.75,96,5,Summer,Yes,No
2023-01-30,1000,35.11,36.66,80,5,Fall,Yes,No
2023-06-05,1000,34.01,36.16,101,4,Fall,Yes,No
2023-08-08,1000,55.58,43.63,79,2,Winter,Yes,No
2023-07-02,1000,53.95,41.89,87,4,Winter,No,No
2023-05-13,1000,35.9,37.92,78,2,Fall,Yes,No
2023-07-28,1000,36.16,36.4,52,2,Spring,Yes,Yes
2023-01-18,1000,51.12,39.29,142,5,Winter,No,No
2023-02-22,1000,38.53,38.37,100,7,Spring,Yes,No
2023-11-06,1000,41.53,41.29,180,4,Spring,No,No
2023-11-20,1000,36.9,42.55,106,6,Summer,No,Yes
2023-12-19,1000,33.45,38.96,183,3,Summer,No,No
2023-08-03,1000,37.68,39.23,169,2,Fall,Yes,No
2023-01-08,1000,37.46,38.96,150,3,Fall,No,No
2023-08-08,1000,39.27,39.72,135,2,Spring,Yes,Yes
2023-02-08,1000,35.52,41.08,144,2,Summer,No,No
2023-08-04,1000,45.2,35.1,152,6,Winter,No,Yes
2023-07-22,1000,29.06,34.18,156,6,Summer,No,No
2023-04-18,1000,41.72,43.83,51,3,Fall,No,Yes
2023-08-16,1000,50.34,39.35,165,5,Winter,Yes,No
2023-10-04,1000,52.91,40.62,55,2,Winter,Yes,Yes
2023-06-23,1000,43.07,42.69,171,4,Spring,No,No
2023-06-24,1000,42.26,42.37,183,6,Spring,Yes,Yes
2023-02-25,1000,52.43,41.01,59,4,Winter,No,No
2023-07-08,1000,33.54,35.79,130,4,Fall,No,No
2023-08-01,1000,51.22,39.44,199,4,Winter,No,Yes
2023-06-16,1000,41.26,43.22,54,3,Fall,Yes,Yes
2023-07-09,1000,42.88,42.64,117,3,Spring,Yes,Yes
2023-02-08,1000,37.64,37.26,171,3,Spring,No,Yes
2023-12-22,1000,37.31,43.24,185,3,Summer,Yes,Yes
2023-10-30,1000,53.47,41.15,212,6,Winter,No,Yes
2023-09-25,1000,41.71,44.21,87,2,Fall,Yes,No
2023-04-16,1000,36.2,37.72,58,5,Fall,No,No
2023-08-10,1000,42.35,42.52,178,1,Spring,Yes,No
2023-10-06,1000,34.25,35.57,59,5,Fall,No,Yes
2023-11-10,1000,36.33,38.33,193,5,Fall,Yes,Yes
2023-01-28,1000,41.58,44.04,151,6,Fall,Yes,Yes
2023-04-15,1000,43.98,43.84,167,5,Spring,Yes,Yes
2023-02-16,1000,29.12,33.87,213,6,Summer,No,No
2023-07-04,1000,36.42,42.49,145,6,Summer,No,Yes
2023-08-26,1000,38.17,38.47,187,4,Spring,Yes,No
2023-08-14,1000,34.96,34.99,179,2,Spring,No,No
2023-06-11,1000,39.53,41.9,71,5,Fall,No,No
2023-06-21,1000,46.1,35.39,113,2,Winter,Yes,No
2023-03-29,1000,39.21,38.76,159,5,Spring,No,No
2023-05-20,1000,47.22,36.79,193,7,Winter,No,Yes
2023-08-10,1000,40.78,43.08,181,7,Fall,No,Yes
2023-08-05,1000,37.12,42.81,207,6,Summer,No,Yes
2023-03-15,1000,36.5,38.26,152,1,Fall,No,No
2023-03-02,1000,46.88,36.51,108,3,Winter,No,Yes
2023-10-05,1000,43.17,43.26,112,4,Spring,No,No
2023-11-08,1000,41.04,40.83,194,7,Spring,No,No
2023-03-06,1000,35.65,37.95,181,3,Fall,No,Yes
2023-11-08,1000,31.47,36.55,125,5,Summer,Yes,Yes
2023-09-14,1000,36.0,41.69,53,3,Summer,Yes,No
2023-10-04,1000,33.44,38.72,96,2,Summer,Yes,Yes
2023-10-27,1000,31.04,36.87,139,6,Summer,Yes,Yes
2023-12-01,1000,33.98,39.72,118,7,Summer,Yes,No
2023-01-27,1000,41.71,41.24,82,7,Spring,Yes,Yes
2023-09-04,1000,36.76,38.62,90,1,Fall,No,Yes
2023-10-30,1000,43.67,43.21,130,5,Spring,No,Yes
2023-01-08,1000,31.88,37.62,64,4,Summer,Yes,Yes
2023-02-01,1000,39.75,42.3,144,2,Fall,Yes,No
2023-07-13,1000,40.52,40.73,160,1,Spring,No,No
2023-10-09,1000,43.52,43.71,154,4,Spring,No,No
2023-03-23,1000,41.13,42.93,131,3,Fall,No,Yes
2023-11-25,1000,30.43,35.35,169,6,Summer,No,No
2023-01-31,1000,43.84,43.65,148,4,Spring,Yes,Yes
2023-10-21,1000,50.93,39.62,174,7,Winter,No,Yes
2023-05-02,1000,49.54,38.63,62,6,Winter,No,No
2023-10-21,1000,49.31,38.12,67,7,Winter,No,No
2023-10-24,1000,36.96,38.88,145,1,Fall,No,No
2023-08-07,1000,38.33,38.42,99,7,Spring,Yes,Yes
2023-04-21,1000,38.66,40.78,88,7,Fall,No,Yes
2023-12-27,1000,36.11,42.36,79,2,Summer,No,No
2023-08-06,1000,50.22,38.37,96,4,Winter,Yes,Yes
2023-03-03,1000,43.06,42.79,67,2,Spring,Yes,No
2023-07-24,1000,29.85,34.89,181,4,Summer,No,Yes
2023-01-28,1000,36.55,36.53,135,4,Spring,Yes,Yes
2023-02-14,1000,51.1,39.42,99,3,Winter,No,No
2023-08-15,1000,33.85,35.47,135,4,Fall,No,No
2023-12-02,1000,34.3,40.07,130,2,Summer,No,Yes
2023-12-15,1000,41.5,41.57,162,7,Spring,Yes,No
2023-04-29,1000,36.7,37.04,126,2,Spring,No,Yes
2023-02-04,1000,37.24,37.27,94,6,Spring,Yes,Yes
2023-12-05,1000,50.21,38.34,196,2,Winter,Yes,No
2023-05-18,1000,41.83,43.88,136,4,Fall,Yes,Yes
2023-08-23,1000,34.6,36.18,178,4,Fall,No,No
2023-04-06,1000,40.18,40.51,174,3,Spring,Yes,No
2023-04-22,1000,29.92,35.37,105,2,Summer,No,Yes
2023-10-10,1000,41.14,42.97,56,6,Fall,No,No
2023-09-17,1000,36.2,38.01,116,2,Fall,Yes,Yes
2023-07-19,1000,51.2,39.57,145,6,Winter,Yes,No
2023-01-13,1000,56.48,44.52,174,4,Winter,No,Yes
2023-12-03,1000,44.03,43.69,163,4,Spring,Yes,No
2023-09-29,1000,37.22,38.91,151,4,Fall,Yes,No
2023-01-01,1000,34.22,33.75,169,7,Spring,Yes,Yes
2023-09-08,1000,33.16,38.45,152,2,Summer,No,Yes
2023-11-13,1000,53.36,41.85,96,4,Winter,Yes,Yes
2023-07-16,1000,40.22,42.45,88,2,Fall,Yes,No
2023-09-30,1000,37.82,37.39,195,2,Spring,Yes,Yes
2023-02-26,1000,49.96,38.19,74,7,Winter,Yes,Yes
2023-02-23,1000,37.48,39.95,161,3,Fall,Yes,Yes
2023-10-02,1000,30.57,36.19,175,4,Summer,Yes,Yes
2023-08-04,1000,48.96,38.14,100,5,Winter,Yes,No
2023-10-08,1000,31.04,36.32,113,7,Summer,Yes,No
2023-11-08,1000,36.75,36.98,201,6,Spring,Yes,Yes
2023-03-24,1000,36.23,36.26,178,7,Spring,No,No
2023-11-15,1000,35.9,35.68,66,2,Spring,Yes,Yes
2023-03-05,1000,48.65,37.85,137,3,Winter,Yes,No
2023-02-09,1000,55.4,42.68,215,7,Winter,No,No
2023-05-17,1000,38.62,38.27,179,2,Spring,No,No
2023-10-26,1000,29.78,35.38,53,5,Summer,No,Yes
2023-09-25,1000,35.43,37.41,94,1,Fall,No,No
2023-07-03,1000,36.05,42.24,160,3,Summer,No,No
2023-02-05,1000,39.41,39.52,105,4,Spring,Yes,No
2023-04-09,1000,34.25,35.93,137,1,Fall,No,No
2023-10-19,1000,50.2,38.55,148,6,Winter,Yes,No
2023-12-12,1000,34.46,40.14,193,3,Summer,Yes,No
2023-07-11,1000,44.17,43.92,197,4,Spring,No,No
2023-04-09,1000,35.24,37.03,103,5,Fall,No,Yes
2023-07-05,1000,33.16,34.95,147,4,Fall,Yes,Yes
2023-07-23,1000,42.7,42.9,72,3,Spring,Yes,Yes
2023-08-26,1000,55.31,43.53,99,3,Winter,Yes,No
2023-01-18,1000,35.09,40.5,161,6,Summer,Yes,Yes
2023-06-15,1000,55.67,43.55,116,3,Winter,No,No
2023-12-30,1000,44.12,43.71,103,2,Spring,No,No
2023-01-28,1000,37.05,39.07,206,6,Fall,No,No
2023-06-08,1000,38.44,38.77,140,4,Spring,Yes,Yes
2023-09-12,1000,56.57,43.96,102,1,Winter,No,Yes
2023-10-01,1000,45.83,35.3,137,1,Winter,No,Yes
2023-07-31,1000,38.64,40.81,84,1,Fall,Yes,No
2023-12-21,1000,38.09,39.98,73,2,Fall,No,No
2023-04-30,1000,33.59,39.3,103,4,Summer,Yes,No
2023-01-18,1000,30.99,36.86,61,6,Summer,No,No
2023-01-28,1000,43.76,44.24,82,3,Spring,Yes,Yes
2023-03-09,1000,36.2,42.2,185,4,Summer,No,Yes
2023-02-27,1001,38.06,37.75,62,3,Spring,Yes,No
2023-03-09,1001,40.27,40.46,116,2,Spring,Yes,No
2023-10-05,1001,50.16,38.45,150,7,Winter,Yes,Yes
2023-01-30,1001,36.86,42.83,88,5,Summer,No,Yes
2023-05-18,1001,43.41,42.91,139,7,Spring,Yes,No
2023-07-25,1001,45.28,45.11,212,7,Spring,Yes,No
2023-12-07,1001,35.81,37.26,128,6,Fall,Yes,No
2023-03-24,1001,38.95,41.45,103,3,Fall,No,Yes
2023-09-16,1001,39.92,39.87,168,3,Spring,Yes,No
2023-07-21,1001,38.71,45.17,146,6,Summer,Yes,Yes
2023-02-15,1001,41.55,41.12,174,1,Spring,No,Yes
2023-07-13,1001,40.14,39.85,75,1,Spring,No,Yes
2023-08-29,1001,39.6,46.27,79,5,Summer,No,No
2023-11-29,1001,58.26,46.05,86,1,Winter,Yes,No
2023-09-05,1001,35.27,41.07,88,2,Summer,No,No
2023-12-26,1001,46.52,46.18,175,3,Spring,Yes,Yes
2023-10-24,1001,51.07,39.07,130,6,Winter,Yes,No
2023-08-13,1001,46.33,46.81,145,7,Spring,Yes,Yes
2023-09-23,1001,32.36,37.97,55,4,Summer,No,Yes
2023-11-08,1001,36.17,38.34,112,4,Fall,No,No
2023-09-03,1001,40.4,46.92,138,2,Summer,Yes,Yes
2023-08-31,1001,58.07,45.68,108,3,Winter,Yes,Yes
2023-11-15,1001,40.89,40.94,194,4,Spring,Yes,Yes
2023-04-05,1001,43.59,46.05,127,1,Fall,Yes,Yes
2023-05-21,1001,40.2,39.99,124,4,Spring,Yes,Yes
2023-07-10,1001,52.81,40.59,185,2,Winter,No,No
2023-12-10,1001,60.25,46.98,79,4,Winter,No,No
2023-03-01,1001,34.75,40.83,200,7,Summer,Yes,Yes
2023-11-14,1001,39.58,39.92,176,3,Spring,No,Yes
2023-09-14,1001,51.85,40.28,122,5,Winter,Yes,No
2023-05-10,1001,38.38,40.66,95,4,Fall,No,Yes
2023-12-22,1001,46.02,46.05,149,7,Spring,No,Yes
2023-07-08,1001,59.9,46.43,184,4,Winter,Yes,Yes
2023-05-03,1001,39.4,41.17,159,2,Fall,Yes,Yes
2023-09-24,1001,47.11,47.3,116,2,Spring,Yes,Yes
2023-06-08,1001,45.23,45.25,159,1,Spring,No,No
2023-04-10,1001,36.44,37.95,194,5,Fall,No,Yes
2023-09-24,1001,47.06,46.64,156,2,Spring,Yes,No
2023-11-11,1001,36.88,43.12,170,3,Summer,Yes,No
2023-01-24,1001,41.75,44.42,178,1,Fall,Yes,Yes
2023-03-26,1001,59.53,46.29,218,6,Winter,Yes,No
2023-04-20,1001,59.77,46.77,63,7,Winter,Yes,Yes
2023-09-04,1001,37.53,43.35,52,5,Summer,Yes,No
2023-10-17,1001,38.27,37.95,141,2,Spring,Yes,No
2023-08-24,1001,48.62,37.43,84,5,Winter,No,Yes
2023-08-26,1001,52.2,40.25,144,5,Winter,Yes,Yes
2023-04-07,1001,42.48,42.1,195,7,Spring,No,No
2023-12-25,1001,39.96,46.37,157,4,Summer,Yes,Yes
2023-09-04,1001,47.19,47.31,191,7,Spring,No,No
2023-11-11,1001,50.92,39.61,56,5,Winter,Yes,No
2023-01-24,1001,42.11,42.61,67,4,Spring,Yes,No
2023-02-22,1001,36.58,42.19,185,2,Summer,Yes,No
2023-12-23,1001,36.34,37.82,84,4,Fall,Yes,Yes
2023-03-15,1001,59.44,46.43,112,6,Winter,Yes,No
2023-05-27,1001,40.8,43.37,185,1,Fall,Yes,No
2023-07-13,1001,38.8,45.04,60,3,Summer,Yes,No
2023-12-08,1001,33.47,38.79,67,4,Summer,No,Yes
2023-03-01,1001,39.24,41.05,179,3,Fall,No,Yes
2023-12-06,1001,50.8,39.23,161,4,Winter,Yes,No
2023-07-26,1001,46.07,45.87,188,2,Spring,No,No
2023-03-24,1001,51.91,40.32,182,3,Winter,Yes,No
2023-03-12,1001,39.38,41.7,132,1,Fall,Yes,No
2023-12-21,1001,43.49,43.77,131,5,Spring,Yes,Yes
2023-12-04,1001,34.61,40.23,73,6,Summer,No,Yes
2023-05-14,1001,46.98,46.69,214,7,Spring,Yes,Yes
2023-02-07,1001,56.8,44.03,162,7,Winter,No,No
2023-07-11,1001,37.38,36.98,103,7,Spring,No,No
2023-07-10,1001,58.44,45.73,130,3,Winter,Yes,Yes
2023-09-20,1001,37.15,39.58,93,5,Fall,Yes,No
2023-10-10,1001,34.2,39.78,218,7,Summer,Yes,Yes
2023-07-21,1001,39.78,46.31,98,3,Summer,Yes,Yes
2023-12-17,1001,50.52,39.14,186,5,Winter,Yes,Yes
2023-09-19,1001,38.28,40.23,150,3,Fall,Yes,No
2023-09-30,1001,41.56,41.21,171,3,Spring,Yes,Yes
2023-09-12,1001,35.52,37.7,195,4,Fall,Yes,Yes
2023-08-02,1001,39.06,45.55,68,6,Summer,No,No
2023-03-14,1001,34.19,40.21,150,7,Summer,Yes,Yes
2023-11-09,1001,53.05,40.75,184,1,Winter,Yes,Yes
2023-08-30,1001,46.48,46.55,119,2,Spring,Yes,No
2023-06-27,1001,39.49,39.62,143,5,Spring,Yes,No
2023-08-21,1001,49.94,38.33,103,2,Winter,Yes,Yes
2023-01-30,1001,49.88,38.68,93,7,Winter,No,No
2023-12-28,1001,32.43,38.45,190,5,Summer,No,No
2023-04-20,1001,58.46,45.32,103,2,Winter,No,No
2023-08-15,1001,39.41,45.5,60,2,Summer,No,No
2023-01-16,1001,55.96,43.58,141,7,Winter,No,Yes
2023-12-01,1001,39.27,40.97,62,5,Fall,Yes,Yes
2023-02-12,1001,35.56,37.84,122,5,Fall,No,No
2023-10-20,1001,44.54,44.78,194,4,Spring,Yes,No
2023-04-07,1001,35.82,37.38,130,5,Fall,No,Yes
2023-08-26,1001,42.85,45.28,51,4,Fall,No,No
2023-11-05,1001,42.32,44.3,132,4,Fall,No,Yes
2023-08-16,1001,35.91,41.44,147,2,Summer,Yes,Yes
2023-12-13,1001,51.08,39.76,124,3,Winter,No,No
2023-01-25,1001,36.52,38.04,183,6,Fall,Yes,No
2023-05-07,1001,39.33,39.12,155,4,Spring,Yes,Yes
2023-05-03,1001,39.02,40.62,85,4,Fall,No,Yes
2023-04-17,1001,34.0,40.04,104,2,Summer,Yes,Yes
2023-04-03,1001,54.44,42.69,115,1,Winter,Yes,No
2023-11-25,1001,35.77,37.65,108,6,Fall,Yes,No
2023-07-25,1001,60.06,46.77,177,2,Winter,No,No
2023-03-30,1001,40.45,47.44,69,1,Summer,Yes,No
2023-05-04,1001,37.0,42.81,52,3,Summer,No,No
2023-03-29,1001,35.64,41.7,167,5,Summer,No,Yes
2023-10-22,1001,43.14,43.57,142,5,Spring,Yes,Yes
2023-02-07,1001,39.54,45.47,52,2,Summer,No,No
2023-09-14,1001,41.66,41.79,151,6,Spring,Yes,Yes
2023-10-14,1001,33.68,39.23,97,7,Summer,Yes,Yes
2023-11-14,1001,45.03,45.3,115,4,Spring,No,No
2023-01-13,1001,41.34,43.51,186,2,Fall,No,No
2023-09-29,1001,58.38,45.74,196,6,Winter,No,No
2023-05-31,1001,59.93,46.85,116,4,Winter,Yes,Yes
2023-02-03,1001,50.72,38.83,149,2,Winter,No,No
2023-08-21,1001,49.66,38.08,161,5,Winter,Yes,No
2023-11-05,1001,31.79,37.45,77,7,Summer,No,No
2023-01-23,1001,41.94,43.87,129,2,Fall,No,No
2023-09-09,1001,43.29,46.04,118,7,Fall,Yes,Yes
2023-03-31,1001,36.06,42.27,94,1,Summer,Yes,No
2023-03-28,1001,35.99,38.25,98,1,Fall,No,Yes
2023-10-15,1001,42.51,44.69,102,6,Fall,No,Yes
2023-09-14,1001,44.99,45.2,115,3,Spring,No,Yes
2023-11-24,1001,57.1,44.6,122,7,Winter,No,No
2023-08-13,1001,41.32,43.66,118,5,Fall,Yes,No
2023-10-22,1001,35.89,38.27,117,6,Fall,Yes,Yes
2023-02-25,1001,35.86,42.08,159,5,Summer,Yes,Yes
2023-06-30,1001,40.45,42.77,199,1,Fall,Yes,Yes
2023-02-01,1001,52.55,41.13,185,1,Winter,Yes,Yes
2023-01-30,1001,36.18,37.92,68,2,Fall,Yes,No
2023-07-22,1001,45.45,45.04,198,7,Spring,No,No
2023-08-17,1001,38.23,38.2,195,2,Spring,Yes,Yes
2023-09-29,1001,40.41,40.1,111,6,Spring,No,No
2023-01-27,1001,44.5,47.08,86,2,Fall,No,Yes
2023-10-04,1001,53.7,41.96,60,7,Winter,No,No
2023-10-25,1001,41.7,43.97,68,3,Fall,Yes,Yes
2023-08-06,1001,38.5,38.24,144,5,Spring,No,No
2023-06-19,1001,57.01,44.44,118,3,Winter,Yes,Yes
2023-07-17,1001,51.84,39.76,156,7,Winter,Yes,No
2023-09-20,1001,39.88,41.64,168,5,Fall,No,Yes
2023-01-06,1001,52.01,39.9,61,1,Winter,Yes,No
2023-07-31,1001,37.97,37.76,108,3,Spring,No,Yes
2023-03-04,1001,33.42,38.67,206,6,Summer,Yes,Yes
2023-02-18,1001,55.57,43.23,58,5,Winter,No,No
2023-07-19,1001,57.54,44.5,98,5,Winter,No,Yes
2023-10-22,1001,39.61,41.55,70,7,Fall,Yes,Yes
2023-03-13,1001,57.42,44.88,75,1,Winter,No,No
2023-04-06,1001,34.63,40.53,145,7,Summer,Yes,No
2023-03-08,1001,31.79,37.42,195,5,Summer,No,Yes
2023-02-24,1001,35.73,37.15,111,5,Fall,No,Yes
2023-05-07,1001,40.66,47.23,173,4,Summer,No,No
2023-05-31,1001,39.08,41.28,160,5,Fall,Yes,Yes
2023-09-21,1001,36.37,42.01,160,3,Summer,No,Yes
2023-12-05,1001,55.15,42.9,71,3,Winter,Yes,No
2023-08-21,1001,59.69,47.02,143,2,Winter,Yes,Yes
2023-11-19,1001,45.69,45.44,199,2,Spring,Yes,Yes
2023-01-15,1001,50.56,38.96,87,4,Winter,No,Yes
2023-05-26,1001,39.45,39.11,130,1,Spring,No,No
2023-08-27,1001,44.13,44.03,95,7,Spring,No,Yes
2023-01-26,1001,54.35,42.44,175,1,Winter,Yes,No
2023-09-12,1001,49.78,38.15,202,6,Winter,No,Yes
2023-06-11,1001,38.79,44.78,58,4,Summer,Yes,No
2023-11-17,1001,57.58,45.13,143,1,Winter,Yes,No
2023-12-27,1001,46.78,46.94,141,7,Spring,Yes,No
2023-05-23,1001,38.96,44.98,75,2,Summer,Yes,Yes
2023-11-01,1001,41.21,40.88,184,4,Spring,No,Yes
2023-11-02,1001,40.77,41.12,215,7,Spring,No,No
2023-03-22,1001,42.75,43.0,91,4,Spring,Yes,Yes
2023-12-04,1001,38.67,45.31,178,6,Summer,Yes,Yes
2023-10-26,1001,51.83,40.05,104,7,Winter,No,No
2023-10-20,1001,42.86,42.94,138,1,Spring,Yes,Yes
2023-04-13,1001,35.83,41.45,67,2,Summer,Yes,No
2023-08-23,1001,35.62,37.05,155,3,Fall,Yes,Yes
2023-09-15,1001,39.94,40.1,148,7,Spring,No,Yes
2023-11-26,1001,34.22,39.63,103,7,Summer,No,No
2023-02-07,1001,42.73,42.3,121,1,Spring,Yes,No
2023-03-01,1001,46.2,46.55,55,3,Spring,No,Yes
2023-01-01,1001,34.53,40.44,179,4,Summer,Yes,No
2023-09-04,1001,42.98,43.07,70,2,Spring,Yes,Yes
2023-11-16,1001,58.78,45.8,94,6,Winter,Yes,Yes
2023-09-15,1001,51.79,40.24,80,7,Winter,Yes,Yes
2023-01-24,1001,37.34,38.81,138,7,Fall,Yes,No
2023-12-25,1001,37.37,43.28,81,6,Summer,Yes,No
2023-01-12,1001,42.31,42.13,187,2,Spring,Yes,Yes
2023-10-01,1001,35.98,41.57,128,7,Summer,No,Yes
2023-03-10,1001,42.37,45.04,96,5,Fall,No,No
2023-03-17,1001,37.4,37.48,92,7,Spring,No,Yes
2023-04-11,1001,39.48,39.76,130,3,Spring,No,Yes
2023-09-10,1001,39.95,40.21,141,2,Spring,Yes,Yes
2023-01-29,1001,36.34,38.46,161,3,Fall,No,Yes
